epoch,nmse,base_phenotype_value
1000,0.3218975800882222,-10
2000,15.447350044786107,-10
3000,622.1195599429832,-10
4000,632.2508561574334,-10
5000,604.6236113933878,-10
6000,594.5655095295714,-10
7000,624.874234929583,-10
8000,624.5986997050227,-10
9000,617.8919111635549,-10
10000,640.9003525911938,-10
1000,0.7823122124227243,-9
2000,20.96324898613566,-9
3000,455.8267529806344,-9
4000,519.283887498731,-9
5000,528.5418947665419,-9
6000,531.811809254671,-9
7000,445.0138743107077,-9
8000,468.7980964661953,-9
9000,491.7687640928292,-9
10000,460.7074044942372,-9
1000,0.31253152348124236,-8
2000,40.94134792340224,-8
3000,374.7291952916025,-8
4000,381.5577686511906,-8
5000,393.0793969935323,-8
6000,386.01818562939206,-8
7000,384.3464497464294,-8
8000,399.3549389319186,-8
9000,409.86308465199573,-8
10000,396.1687840586426,-8
1000,0.19636903543410567,-7
2000,43.83670844733489,-7
3000,267.6855228405565,-7
4000,285.1358875945825,-7
5000,289.3750084407181,-7
6000,288.07908205579326,-7
7000,295.31470402238944,-7
8000,297.85206761033095,-7
9000,285.359903244178,-7
10000,297.88476354766806,-7
1000,0.33946822975554625,-6
2000,51.04736262492348,-6
3000,205.76199962589308,-6
4000,209.57251377530872,-6
5000,207.48670035460057,-6
6000,208.79970880577065,-6
7000,215.69964145532163,-6
8000,213.4685234187181,-6
9000,210.3172858978842,-6
10000,207.1941967826497,-6
1000,0.3617823117217089,-5
2000,6.891824969159827,-5
3000,128.5762399461787,-5
4000,135.39661188143475,-5
5000,136.7310395825573,-5
6000,138.11046309070178,-5
7000,145.93207883209442,-5
8000,137.8786806137365,-5
9000,126.90523575242621,-5
10000,144.79386523322654,-5
1000,0.2382749809838877,-4
2000,10.159692294059484,-4
3000,88.62756020889486,-4
4000,87.19667313950728,-4
5000,79.14020178770737,-4
6000,86.28722175196405,-4
7000,85.08765574803711,-4
8000,96.93562233501846,-4
9000,91.67313417526192,-4
10000,78.98101523370521,-4
1000,0.35653287747872275,-3
2000,2.104803856369117,-3
3000,44.08117208273461,-3
4000,42.55030636423095,-3
5000,44.56758004245147,-3
6000,45.08757815519308,-3
7000,45.28632863544886,-3
8000,45.80119187611261,-3
9000,45.131050354350336,-3
10000,43.48144081496725,-3
1000,0.26627612482493845,-2
2000,0.25730529388120654,-2
3000,9.708315554336139,-2
4000,18.998709168664472,-2
5000,14.760756866466762,-2
6000,25.15710877127214,-2
7000,11.667616902571533,-2
8000,26.26672898507599,-2
9000,31.38328456198074,-2
10000,25.88807154171812,-2
1000,0.01469525625969625,-1
2000,0.10863933665853062,-1
3000,2.6046447361542504,-1
4000,4.384411302880341,-1
5000,2.279978652006332,-1
6000,3.698229553684925,-1
7000,1.7548423282915102,-1
8000,3.9084245252282033,-1
9000,3.8403819986359085,-1
10000,3.35750036734593,-1
1000,0.3881455640391081,0
2000,0.1365180290290896,0
3000,1.3183448496807024,0
4000,2.7908372957289305,0
5000,3.29406443053001,0
6000,4.052509372320561,0
7000,4.251000704460596,0
8000,2.4768784526844945,0
9000,2.8356280345171254,0
10000,2.177893062719435,0
1000,0.3747481604415002,1
2000,1.0257641376727373,1
3000,16.70341044406703,1
4000,15.07761775015104,1
5000,14.270563446635947,1
6000,16.83206387859212,1
7000,16.28130444337685,1
8000,18.589517765472902,1
9000,13.602690427463338,1
10000,14.624451705714595,1
1000,0.08284003138904894,2
2000,2.5747961259945704,2
3000,42.608271921480295,2
4000,40.42182742644067,2
5000,43.53081737016594,2
6000,36.23401072736809,2
7000,40.887941434452024,2
8000,43.20956072818813,2
9000,44.387100392966126,2
10000,40.56812322982157,2
1000,0.10650875729863851,3
2000,14.476040007637621,3
3000,74.38798660805345,3
4000,81.67069981061351,3
5000,83.08815489942495,3
6000,84.2177697005621,3
7000,88.4331197721285,3
8000,85.26671558103902,3
9000,85.73764279380914,3
10000,74.85245195518404,3
1000,0.22305469391853627,4
2000,14.851765473327927,4
3000,132.20277652403362,4
4000,134.96852780945503,4
5000,136.18062579959621,4
6000,137.5291783782713,4
7000,138.6889188361243,4
8000,138.83155328307896,4
9000,131.98622424704482,4
10000,136.99344017489625,4
1000,0.25978888122477145,5
2000,27.64098234001898,5
3000,193.36093224971563,5
4000,178.09102838427717,5
5000,193.95718052934888,5
6000,200.01824639734306,5
7000,224.40335172999877,5
8000,209.25099410526784,5
9000,200.94387718814102,5
10000,206.78400201629245,5
1000,0.1519903126771152,6
2000,25.640865976826113,6
3000,278.6367938638602,6
4000,302.32313280513546,6
5000,269.5765644029731,6
6000,293.8313520554219,6
7000,282.9532058249093,6
8000,285.52809747940523,6
9000,292.6085728159334,6
10000,291.51734583506186,6
1000,0.45458917135388144,7
2000,55.116896548226805,7
3000,355.86257758649657,7
4000,382.09377947485757,7
5000,391.0786652638354,7
6000,393.3731080096859,7
7000,386.9109803433181,7
8000,403.6487604423312,7
9000,413.36296931044586,7
10000,381.18740644642946,7
1000,0.3776118747409288,8
2000,115.01769759380645,8
3000,472.23500481046267,8
4000,485.2116310511435,8
5000,499.2818771216917,8
6000,467.0731299394705,8
7000,482.49568977002934,8
8000,496.76072181473,8
9000,492.6649863457398,8
10000,500.10847738414014,8
1000,0.5743313449527829,9
2000,104.36873524977716,9
3000,602.9967531866953,9
4000,595.1787561124579,9
5000,696.6354388061791,9
6000,674.137798938844,9
7000,569.0381925760668,9
8000,623.9674957327343,9
9000,682.0117286530631,9
10000,617.6477048427171,9
1000,0.6168543545285198,10
2000,93.31465764239375,10
3000,701.0712710397818,10
4000,750.6536513471502,10
5000,801.7087654698238,10
6000,788.3088746002342,10
7000,727.1160147066496,10
8000,755.963622966698,10
9000,743.8590404427965,10
10000,792.619358483303,10
